branch	status	old_path	new_path
aether	R097	crates/aether-data/src/repository/background_tasks/mysql.rs	crates/aether-data/adapters/mysql/src/background_tasks.rs
aether	R091	crates/aether-data/src/repository/billing/mysql.rs	crates/aether-data/adapters/mysql/src/billing.rs
aether	R050	crates/aether-data/src/repository/candidates/mysql.rs	crates/aether-data/adapters/mysql/src/candidates.rs
aether	R081	crates/aether-data/src/repository/gemini_file_mappings/mysql.rs	crates/aether-data/adapters/mysql/src/gemini_file_mappings.rs
aether	R082	crates/aether-data/src/repository/management_tokens/mysql.rs	crates/aether-data/adapters/mysql/src/management_tokens.rs
aether	R098	crates/aether-data/src/repository/oauth_providers/mysql.rs	crates/aether-data/adapters/mysql/src/oauth_providers.rs
aether	R068	crates/aether-data/src/driver/mysql/pool.rs	crates/aether-data/adapters/mysql/src/pool.rs
aether	R073	crates/aether-data/src/repository/pool_scores/mysql.rs	crates/aether-data/adapters/mysql/src/pool_scores.rs
aether	R096	crates/aether-data/src/repository/proxy_nodes/mysql.rs	crates/aether-data/adapters/mysql/src/proxy_nodes.rs
aether	R073	crates/aether-data/src/repository/routing_profiles/mysql.rs	crates/aether-data/adapters/mysql/src/routing_profiles.rs
aether	R078	crates/aether-data/src/repository/settlement/mysql.rs	crates/aether-data/adapters/mysql/src/settlement.rs
aether	R096	crates/aether-data/src/repository/users/mysql.rs	crates/aether-data/adapters/mysql/src/users.rs
aether	R077	crates/aether-data/src/repository/video_tasks/mysql.rs	crates/aether-data/adapters/mysql/src/video_tasks.rs
aether	R081	crates/aether-data/src/repository/wallet/mysql.rs	crates/aether-data/adapters/mysql/src/wallet.rs
aether	R060	crates/aether-data/Cargo.toml	crates/aether-data/adapters/postgres/Cargo.toml
aether	R099	crates/aether-data/migrations/postgres/20260403000000_baseline.sql	crates/aether-data/adapters/postgres/migrations/20260403000000_baseline.sql
aether	R100	crates/aether-data/migrations/postgres/20260406000000_add_provider_endpoints_health_score.sql	crates/aether-data/adapters/postgres/migrations/20260406000000_add_provider_endpoints_health_score.sql
aether	R100	crates/aether-data/migrations/postgres/20260410000000_add_usage_token_semantics_v2.sql	crates/aether-data/adapters/postgres/migrations/20260410000000_add_usage_token_semantics_v2.sql
aether	R100	crates/aether-data/migrations/postgres/20260413020000_squash_usage_schema_split.sql	crates/aether-data/adapters/postgres/migrations/20260413020000_squash_usage_schema_split.sql
aether	R100	crates/aether-data/migrations/postgres/20260413030000_deprecate_usage_legacy_http_columns.sql	crates/aether-data/adapters/postgres/migrations/20260413030000_deprecate_usage_legacy_http_columns.sql
aether	R100	crates/aether-data/migrations/postgres/20260415000000_add_redeem_codes.sql	crates/aether-data/adapters/postgres/migrations/20260415000000_add_redeem_codes.sql
aether	R100	crates/aether-data/migrations/postgres/20260418000000_add_usage_http_audit_body_states.sql	crates/aether-data/adapters/postgres/migrations/20260418000000_add_usage_http_audit_body_states.sql
aether	R100	crates/aether-data/migrations/postgres/20260421000000_add_stats_user_summary_and_enrich_user_aggregates.sql	crates/aether-data/adapters/postgres/migrations/20260421000000_add_stats_user_summary_and_enrich_user_aggregates.sql
aether	R100	crates/aether-data/migrations/postgres/20260422110000_add_stats_aggregate_read_path_support.sql	crates/aether-data/adapters/postgres/migrations/20260422110000_add_stats_aggregate_read_path_support.sql
aether	R100	crates/aether-data/migrations/postgres/20260422120000_add_api_key_usage_stats.sql	crates/aether-data/adapters/postgres/migrations/20260422120000_add_api_key_usage_stats.sql
aether	R100	crates/aether-data/migrations/postgres/20260423000000_fix_provider_api_key_api_formats_nullable.sql	crates/aether-data/adapters/postgres/migrations/20260423000000_fix_provider_api_key_api_formats_nullable.sql
aether	R100	crates/aether-data/migrations/postgres/20260424000000_add_billing_v3_settlement_snapshot.sql	crates/aether-data/adapters/postgres/migrations/20260424000000_add_billing_v3_settlement_snapshot.sql
aether	R100	crates/aether-data/migrations/postgres/20260428000000_normalize_api_format_aliases.sql	crates/aether-data/adapters/postgres/migrations/20260428000000_normalize_api_format_aliases.sql
aether	R100	crates/aether-data/migrations/postgres/20260502000000_add_provider_key_auth_channel_mismatch_formats.sql	crates/aether-data/adapters/postgres/migrations/20260502000000_add_provider_key_auth_channel_mismatch_formats.sql
aether	R100	crates/aether-data/migrations/postgres/20260505000000_sync_core_export_columns.sql	crates/aether-data/adapters/postgres/migrations/20260505000000_sync_core_export_columns.sql
aether	R100	crates/aether-data/migrations/postgres/20260505130000_project_upstream_stream_in_usage_billing_facts.sql	crates/aether-data/adapters/postgres/migrations/20260505130000_project_upstream_stream_in_usage_billing_facts.sql
aether	R100	crates/aether-data/migrations/postgres/20260507000000_cascade_announcement_reads_on_delete.sql	crates/aether-data/adapters/postgres/migrations/20260507000000_cascade_announcement_reads_on_delete.sql
aether	R100	crates/aether-data/migrations/postgres/20260507120000_add_management_token_permissions.sql	crates/aether-data/adapters/postgres/migrations/20260507120000_add_management_token_permissions.sql
aether	R100	crates/aether-data/migrations/postgres/20260508000000_add_proxy_node_metrics.sql	crates/aether-data/adapters/postgres/migrations/20260508000000_add_proxy_node_metrics.sql
aether	R100	crates/aether-data/migrations/postgres/20260509000000_add_background_tasks.sql	crates/aether-data/adapters/postgres/migrations/20260509000000_add_background_tasks.sql
aether	R100	crates/aether-data/migrations/postgres/20260509120000_add_user_groups.sql	crates/aether-data/adapters/postgres/migrations/20260509120000_add_user_groups.sql
aether	R100	crates/aether-data/migrations/postgres/20260510000000_normalize_management_token_jsonb.sql	crates/aether-data/adapters/postgres/migrations/20260510000000_normalize_management_token_jsonb.sql
aether	R100	crates/aether-data/migrations/postgres/20260510120000_normalize_empty_user_policy_modes.sql	crates/aether-data/adapters/postgres/migrations/20260510120000_normalize_empty_user_policy_modes.sql
aether	R100	crates/aether-data/migrations/postgres/20260511000000_add_provider_api_key_pool_sort_indexes.sql	crates/aether-data/adapters/postgres/migrations/20260511000000_add_provider_api_key_pool_sort_indexes.sql
aether	R100	crates/aether-data/migrations/postgres/20260511120000_exclude_admins_from_default_user_group.sql	crates/aether-data/adapters/postgres/migrations/20260511120000_exclude_admins_from_default_user_group.sql
aether	R100	crates/aether-data/migrations/postgres/20260511130000_add_pool_member_scores.sql	crates/aether-data/adapters/postgres/migrations/20260511130000_add_pool_member_scores.sql
aether	R100	crates/aether-data/migrations/postgres/20260512000000_add_feature_settings.sql	crates/aether-data/adapters/postgres/migrations/20260512000000_add_feature_settings.sql
